model,feature_space,k,n_init,covariance_type,reg_covar,val_ari,val_purity,val_combined,test_ari,test_purity,test_combined
GMM,with_driver,5,5,spherical,0.001,0.026137536424237825,0.15234345133419985,0.17848098775843768,0.02514572661600399,0.15139686184462303,0.17654258846062704
GMM,with_driver,5,10,spherical,0.001,0.02616153109125602,0.15245813900145272,0.17861967009270874,0.025141811303864923,0.1513585916570991,0.17650040296096403
KMeans,with_driver,7,10,,,0.023532608514987265,0.15670158268980808,0.18023419120479534,0.022810299711077654,0.15541523153463452,0.17822553124571217
KMeans,with_driver,7,20,,,0.023533420569509536,0.15666335346739046,0.1801967740369,0.02280788371392284,0.1553769613471106,0.17818484506103344
KMeans,with_driver,7,40,,,0.023527747269419058,0.15666335346739046,0.18019110073680952,0.022814549602377356,0.1553769613471106,0.17819151094948796
GMM,with_driver,7,3,full,1e-06,0.16703464949147515,0.35866656472207353,0.5257012142135487,0.16400786428535893,0.3577879831611175,0.5217958474464764
GMM,with_driver,7,5,full,1e-06,0.16703464949147515,0.35866656472207353,0.5257012142135487,0.16400786428535893,0.3577879831611175,0.5217958474464764
GMM,with_driver,7,10,full,1e-06,0.16703464949147515,0.35866656472207353,0.5257012142135487,0.16400786428535893,0.3577879831611175,0.5217958474464764
GMM,with_driver,7,3,full,1e-05,0.20601895872780215,0.3766725284807707,0.5826914872085729,0.20412242493411722,0.37726750861079217,0.5813899335449094
GMM,with_driver,7,5,full,1e-05,0.20601895872780215,0.3766725284807707,0.5826914872085729,0.20412242493411722,0.37726750861079217,0.5813899335449094
GMM,with_driver,7,10,full,1e-05,0.20601895872780215,0.3766725284807707,0.5826914872085729,0.20412242493411722,0.37726750861079217,0.5813899335449094
GMM,with_driver,7,3,full,0.0001,0.25099049718390437,0.38917348421133113,0.6401639813952356,0.2478523908875392,0.38687332567929583,0.634725716566835
GMM,with_driver,7,5,full,0.0001,0.25099049718390437,0.38917348421133113,0.6401639813952356,0.2478523908875392,0.38687332567929583,0.634725716566835
GMM,with_driver,7,10,full,0.0001,0.25099049718390437,0.38917348421133113,0.6401639813952356,0.2478523908875392,0.38687332567929583,0.634725716566835
GMM,with_driver,7,3,full,0.001,0.21716016063509622,0.36818564110405994,0.5853458017391562,0.2152835594084586,0.3659395331037122,0.5812230925121709
GMM,with_driver,7,5,full,0.001,0.21716016063509622,0.36818564110405994,0.5853458017391562,0.2152835594084586,0.3659395331037122,0.5812230925121709
GMM,with_driver,7,10,full,0.001,0.19173521308282918,0.3425720620842572,0.5343072751670864,0.18924797407110072,0.33761959433601224,0.5268675684071129
GMM,with_driver,7,3,tied,1e-06,0.1524572214317449,0.33618778194051535,0.48864500337226024,0.15413975498615554,0.33605051664753155,0.4901902716336871
GMM,with_driver,7,5,tied,1e-06,0.1524572214317449,0.33618778194051535,0.48864500337226024,0.15413975498615554,0.33605051664753155,0.4901902716336871
GMM,with_driver,7,10,tied,1e-06,0.1524572214317449,0.33618778194051535,0.48864500337226024,0.15413975498615554,0.33605051664753155,0.4901902716336871
GMM,with_driver,7,3,tied,1e-05,0.1524572214317449,0.33618778194051535,0.48864500337226024,0.15413975498615554,0.33605051664753155,0.4901902716336871
GMM,with_driver,7,5,tied,1e-05,0.1524572214317449,0.33618778194051535,0.48864500337226024,0.15413975498615554,0.33605051664753155,0.4901902716336871
GMM,with_driver,7,10,tied,1e-05,0.1524572214317449,0.33618778194051535,0.48864500337226024,0.15413975498615554,0.33605051664753155,0.4901902716336871
GMM,with_driver,7,3,tied,0.0001,0.1515896437640496,0.33618778194051535,0.48777742570456495,0.1532256439062333,0.33605051664753155,0.4892761605537649
GMM,with_driver,7,5,tied,0.0001,0.1515896437640496,0.33618778194051535,0.48777742570456495,0.1532256439062333,0.33605051664753155,0.4892761605537649
GMM,with_driver,7,10,tied,0.0001,0.1515896437640496,0.33618778194051535,0.48777742570456495,0.1532256439062333,0.33605051664753155,0.4892761605537649
GMM,with_driver,7,3,tied,0.001,0.14027220337447216,0.3237632846547901,0.46403548802926226,0.14135852652681352,0.32499043245311904,0.46634895897993256
GMM,with_driver,7,5,tied,0.001,0.14027220337447216,0.3237632846547901,0.46403548802926226,0.14135852652681352,0.32499043245311904,0.46634895897993256
GMM,with_driver,7,10,tied,0.001,0.14027220337447216,0.3237632846547901,0.46403548802926226,0.14135852652681352,0.32499043245311904,0.46634895897993256
GMM,with_driver,7,3,diag,1e-06,0.2101674202378116,0.36623595076076154,0.5764033709985732,0.20746473295176454,0.36318407960199006,0.5706488125537545
GMM,with_driver,7,5,diag,1e-06,0.2101674202378116,0.36623595076076154,0.5764033709985732,0.20746473295176454,0.36318407960199006,0.5706488125537545
GMM,with_driver,7,10,diag,1e-06,0.2101674202378116,0.36623595076076154,0.5764033709985732,0.20746473295176454,0.36318407960199006,0.5706488125537545
GMM,with_driver,7,3,diag,1e-05,0.21319978222588873,0.3497209266763514,0.5629207089022401,0.20964994468660333,0.3442020665901263,0.5538520112767297
GMM,with_driver,7,5,diag,1e-05,0.21319978222588873,0.3497209266763514,0.5629207089022401,0.20964994468660333,0.3442020665901263,0.5538520112767297
GMM,with_driver,7,10,diag,1e-05,0.21319978222588873,0.3497209266763514,0.5629207089022401,0.20964994468660333,0.3442020665901263,0.5538520112767297
GMM,with_driver,7,3,diag,0.0001,0.2183217139291297,0.3757167979203303,0.59403851184946,0.21519631672599174,0.3695752009184845,0.5847715176444762
GMM,with_driver,7,5,diag,0.0001,0.2183217139291297,0.3757167979203303,0.59403851184946,0.21519631672599174,0.3695752009184845,0.5847715176444762
GMM,with_driver,7,10,diag,0.0001,0.22783028681730702,0.38385962229528253,0.6116899091125896,0.22372158600050243,0.378300803673938,0.6020223896744404
GMM,with_driver,7,3,diag,0.001,0.21851898995012883,0.36409511430537506,0.5826141042555039,0.2145539010687992,0.35813241484883274,0.572686315917632
GMM,with_driver,7,5,diag,0.001,0.21851898995012883,0.36409511430537506,0.5826141042555039,0.2145539010687992,0.35813241484883274,0.572686315917632
GMM,with_driver,7,10,diag,0.001,0.21851898995012883,0.36409511430537506,0.5826141042555039,0.2145539010687992,0.35813241484883274,0.572686315917632
GMM,with_driver,7,3,spherical,1e-06,0.022685151909056893,0.15544001835002677,0.17812517025908367,0.022638791812643198,0.1549177190968236,0.17755651090946678
GMM,with_driver,7,5,spherical,1e-06,0.022685151909056893,0.15544001835002677,0.17812517025908367,0.022638791812643198,0.1549177190968236,0.17755651090946678
GMM,with_driver,7,10,spherical,1e-06,0.022685151909056893,0.15544001835002677,0.17812517025908367,0.022638791812643198,0.1549177190968236,0.17755651090946678
GMM,with_driver,7,3,spherical,1e-05,0.022684537426046907,0.15547824757244438,0.17816278499849128,0.022638791812643198,0.1549177190968236,0.17755651090946678
GMM,with_driver,7,5,spherical,1e-05,0.022684537426046907,0.15547824757244438,0.17816278499849128,0.022638791812643198,0.1549177190968236,0.17755651090946678
GMM,with_driver,7,10,spherical,1e-05,0.022684537426046907,0.15547824757244438,0.17816278499849128,0.022638791812643198,0.1549177190968236,0.17755651090946678
GMM,with_driver,7,3,spherical,0.0001,0.02268694558504271,0.155516476794862,0.17820342237990472,0.022649322009205292,0.15480290853425183,0.17745223054345713
GMM,with_driver,7,5,spherical,0.0001,0.02268694558504271,0.155516476794862,0.17820342237990472,0.022649322009205292,0.15480290853425183,0.17745223054345713
GMM,with_driver,7,10,spherical,0.0001,0.02268694558504271,0.155516476794862,0.17820342237990472,0.022649322009205292,0.15480290853425183,0.17745223054345713
GMM,with_driver,7,3,spherical,0.001,0.02272807678139988,0.15570762290695006,0.17843569968834994,0.02263822581246782,0.15487944890929967,0.1775176747217675
GMM,with_driver,7,5,spherical,0.001,0.02272807678139988,0.15570762290695006,0.17843569968834994,0.02263822581246782,0.15487944890929967,0.1775176747217675
GMM,with_driver,7,10,spherical,0.001,0.022709303785090645,0.15570762290695006,0.1784169266920407,0.02264242362243581,0.15484117872177575,0.17748360234421157
